time,values,nace_r2
2018-01-01,100,C_EN
2018-04-01,100.21808963777931,C_EN
2018-07-01,99.14750413913622,C_EN
2018-10-01,97.69684888327458,C_EN
2019-01-01,97.86612319116118,C_EN
2019-04-01,97.74967272117966,C_EN
2019-07-01,97.23703419102839,C_EN
2019-10-01,96.12333820947406,C_EN
2020-01-01,94.97885677911083,C_EN
2020-04-01,83.07756812363209,C_EN
2020-07-01,93.24736061462073,C_EN
2020-10-01,96.79036363056682,C_EN
2021-01-01,97.14408327578849,C_EN
2021-04-01,97.83832006965926,C_EN
2021-07-01,98.73483638987453,C_EN
2021-10-01,102.35554146267877,C_EN
2022-01-01,101.04152975985923,C_EN
2022-04-01,98.03307208664431,C_EN
2022-07-01,94.33206853953276,C_EN
2022-10-01,92.04944499056916,C_EN
2023-01-01,87.50348022512014,C_EN
2023-04-01,88.76915689795038,C_EN
2023-07-01,86.11310255183604,C_EN
2023-10-01,85.03389252912214,C_EN
2024-01-01,85.14473063446025,C_EN
2024-04-01,85.75751454220209,C_EN
2024-07-01,85.66528493390321,C_EN
2024-10-01,84.6038746785213,C_EN
2025-01-01,85.45655431520007,C_EN
2025-04-01,84.00975052708766,C_EN
2025-07-01,NA,C_EN
